name,pid,num_tracks,num_holdouts,holdout_ratio
spanish playlist,1000002,11,11,1.0
Groovin,1000003,48,48,1.0
uplift,1000004,40,40,1.0
WUBZ,1000006,27,27,1.0
new,1000007,41,41,1.0
Calm,1000010,21,21,1.0
Favorite!,1000011,38,38,1.0
August,1000013,26,26,1.0
work,1000014,17,17,1.0
Lit,1000015,38,38,1.0
dance playlist,1000017,18,18,1.0
🤙🏻,1000019,13,13,1.0
life,1000021,27,27,1.0
Rock,1000022,22,22,1.0
anthony,1000028,19,19,1.0
September '16,1000030,21,21,1.0
Best ^.^,1000031,50,50,1.0
Upbeat,1000035,26,26,1.0
Adventure,1000037,47,47,1.0
car 2 ,1000039,27,27,1.0
dreams,1000042,10,10,1.0
idk,1000044,50,50,1.0
My High-Intensity Workout,1000047,16,16,1.0
Freestyle,1000050,29,29,1.0
HAPPY,1000053,20,20,1.0
sj ,1000056,20,20,1.0
Zoom ,1000057,21,21,1.0
beachin!!,1000060,33,33,1.0
Party Mix,1000061,24,24,1.0
All Day,1000063,46,46,1.0
Reception Music,1000064,48,48,1.0
rap,1000066,42,42,1.0
jammin,1000069,38,38,1.0
Banda,1000071,26,26,1.0
😍😍😍,1000073,31,31,1.0
Molly!,1000076,28,28,1.0
car,1000078,46,46,1.0
strength,1000079,25,25,1.0
Basketball,1000080,12,12,1.0
jammin,1000081,34,34,1.0
Pump Up,1000087,20,20,1.0
New Workout,1000091,22,22,1.0
Netflix and chill,1000093,22,22,1.0
Allison,1000096,14,14,1.0
wo,1000101,29,29,1.0
Iconic,1000102,34,34,1.0
june ,1000109,40,40,1.0
Piano Covers,1000112,50,50,1.0
good vibrations,1000114,32,32,1.0
grad party,1000117,31,31,1.0
Awesome Mix Vol. 1,1000118,12,12,1.0
Casual,1000119,30,30,1.0
not country,1000123,43,43,1.0
warm up,1000126,19,19,1.0
Mix,1000127,42,42,1.0
juliette!,1000129,18,18,1.0
ADVENT,1000132,19,19,1.0
Flight,1000136,34,34,1.0
Kick back,1000139,24,24,1.0
