length,count
101,15
102,15
103,16
104,17
105,12
106,24
107,15
108,10
109,7
110,9
111,14
112,21
113,12
114,14
115,9
116,10
117,17
118,9
119,19
120,6
121,3
122,7
123,11
124,8
125,12
126,12
127,13
128,8
129,12
130,11
131,14
132,12
133,12
134,8
135,13
136,10
137,5
138,11
139,8
140,10
141,9
142,7
143,9
144,10
145,11
146,10
147,5
148,11
149,6
150,6
151,5
152,8
153,10
154,7
155,7
156,10
157,12
158,4
159,10
160,8
161,12
162,4
163,4
164,9
165,5
166,7
167,8
168,7
169,6
170,7
171,7
172,9
173,3
174,9
175,10
176,7
177,9
178,1
179,3
180,2
181,2
182,8
183,8
184,8
185,3
186,6
187,5
188,4
189,1
190,6
191,3
192,7
193,5
194,4
195,5
196,4
197,4
198,4
199,3
200,3
201,5
202,2
203,3
204,5
205,4
206,4
207,3
208,6
209,4
210,2
211,4
212,1
213,5
214,2
215,5
216,3
217,4
218,3
220,6
221,1
222,4
223,4
224,1
225,2
226,2
227,3
228,5
229,5
230,5
232,1
233,3
234,2
235,5
236,1
237,2
238,6
239,4
240,1
241,1
242,2
244,3
245,2
246,1
247,3
248,1
250,1
