,artist_name,track_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
10,Frank Sinatra,That Old Black Magic,0.447,0.13,3,-15.194,0,0.0604,0.983,0.424,0.0901,0.403,93.643
11,Dean Martin,Come Back To Sorrento,0.179,0.152,9,-15.837,1,0.038,0.938,5.74e-06,0.122,0.227,79.554
12,Frank Sinatra,Nancy (With The Laughing Face),0.265,0.103,1,-19.601,1,0.0353,0.986,0.000429,0.117,0.159,86.241
13,Frank Sinatra,Ol' Man River,0.211,0.11,0,-13.209,1,0.0344,0.924,8.55e-06,0.274,0.115,68.295
14,Frank Sinatra,When You're Smiling (The Whole World Smiles With You) - 1998 Digital Remaster,0.565,0.329,10,-12.222,0,0.0475,0.436,0.0,0.29,0.702,79.054
15,Michael Bublé,I'm Beginning To See The Light,0.557,0.504,9,-6.997,0,0.218,0.472,0.0,0.162,0.452,143.748
16,Michael Bublé,Mack The Knife,0.514,0.493,6,-6.704,1,0.159,0.688,3.27e-06,0.125,0.699,163.661
17,Michael Bublé,Orange Colored Sky,0.513,0.495,0,-7.511,1,0.133,0.615,0.0,0.188,0.305,131.467
18,Michael Bublé,The More I See You,0.483,0.38,8,-8.097,1,0.0391,0.21,0.0,0.21,0.372,118.177
19,Michael Bublé,My Funny Valentine - Live,0.255,0.366,3,-9.858,1,0.043,0.315,9.88e-05,0.729,0.125,88.287
20,Michael Bublé,Mack The Knife - Live,0.492,0.579,0,-7.471,0,0.0698,0.609,0.0,0.973,0.462,91.916
21,Michael Bublé,You'll Never Know - Live,0.328,0.253,0,-15.304,0,0.0488,0.738,0.00972,0.982,0.149,60.61
22,Michael Bublé,For Once In My Life - Live,0.442,0.548,7,-6.319,0,0.0461,0.588,0.0,0.936,0.411,90.586
23,Michael Bublé,Moondance - Live,0.479,0.734,5,-5.505,0,0.0644,0.436,0.0,0.984,0.513,75.577
24,Michael Bublé,How Can You Mend A Broken Heart,0.285,0.325,1,-10.54,1,0.0355,0.825,8.17e-05,0.126,0.0718,94.648
25,Michael Bublé,That's How It Goes,0.496,0.439,2,-8.934,0,0.0369,0.671,0.0,0.225,0.7,119.746
26,Michael Bublé,Love At First Sight,0.31,0.161,10,-14.139,1,0.03,0.907,9.3e-06,0.106,0.193,173.072
27,Michael Bublé,Anyone To Love,0.378,0.0368,3,-17.121,1,0.0366,0.986,2.39e-05,0.169,0.122,81.72
28,Michael Bublé,Guess I'm Falling 4 U,0.52,0.241,7,-14.239,1,0.0372,0.925,0.0,0.119,0.2,96.735
29,Michael Bublé,Nevertheless [I'm In Love With You] - feat. The Puppini Sisters,0.521,0.305,7,-7.493,1,0.0271,0.835,0.0,0.111,0.289,113.66
30,Michael Bublé,I Got It Easy,0.274,0.525,8,-6.183,1,0.0335,0.461,0.0,0.089,0.297,122.895
31,Michael Bublé,My Melancholy Baby,0.206,0.246,11,-10.643,1,0.0305,0.612,0.021,0.104,0.106,140.035
32,Dean Martin,Who's Got the Action?,0.4,0.447,8,-10.991,1,0.0797,0.73,0.0,0.368,0.819,181.589
33,Dean Martin,Baby-O,0.364,0.42,6,-10.237,0,0.0331,0.87,0.0,0.154,0.502,149.187
34,Dean Martin,You Belong To Me,0.182,0.123,5,-16.237,0,0.0427,0.93,0.0492,0.106,0.238,73.389
35,Dean Martin,Cha Cha Cha D'Amour (Melodie D'Amour),0.763,0.366,5,-13.532,1,0.0568,0.687,0.00288,0.111,0.793,128.173
36,Harry James & His Orchestra,"Moon Love (Adapted From Tchaikovsky's 5th Symphony, 2nd Movement)",0.315,0.361,8,-12.534,1,0.039,0.986,0.238,0.64,0.458,123.144
37,Frank Sinatra,She's Funny That Way,0.271,0.0636,0,-19.402,1,0.0404,0.976,0.000125,0.277,0.182,90.893
38,Frank Sinatra,I Don't Believe in Rumors,0.227,0.193,3,-16.152,1,0.0388,0.966,0.00401,0.334,0.346,82.614
39,Michael Bublé,To Be Loved,0.427,0.589,11,-4.815,1,0.0274,0.583,0.0,0.191,0.418,95.754
40,Michael Bublé,Kissing a Fool,0.564,0.202,5,-11.881,0,0.0346,0.698,5.05e-06,0.0938,0.193,74.899
41,Dean Martin,"My Rifle, My Pony And Me",0.473,0.0556,1,-19.592,1,0.0345,0.91,0.0,0.0688,0.403,80.573
42,Dean Martin,C'est si bon,0.602,0.193,4,-15.28,0,0.048,0.913,0.0,0.347,0.346,119.897
43,Michael Bublé,You'll Never Find Another Love Like Mine,0.342,0.329,1,-11.202,1,0.0328,0.445,0.000976,0.0939,0.392,179.983
44,Michael Bublé,For Once in My Life,0.551,0.493,10,-5.685,1,0.0378,0.646,0.0,0.287,0.43,94.415
45,Dean Martin,Face in a Crowd,0.586,0.295,2,-13.849,1,0.0271,0.917,0.00012,0.242,0.455,102.123
46,Dean Martin,From the Bottom of My Heart,0.258,0.244,8,-12.089,1,0.0305,0.846,1.72e-06,0.146,0.339,84.191
47,Dean Martin,Senza fine,0.17,0.232,10,-11.963,0,0.034,0.854,6.23e-05,0.222,0.19,167.779
48,Michael Bublé,Put Your Head On My Shoulder,0.25,0.253,2,-13.568,1,0.0327,0.78,0.000849,0.14,0.103,119.399
49,Dean Martin,On The Street Where You Live - 1998 - Remastered,0.64,0.154,6,-14.05,0,0.042,0.768,0.0,0.0551,0.481,126.045
50,Dean Martin,Send Me the Pillow You Dream On,0.441,0.391,10,-10.129,1,0.031,0.669,1.38e-05,0.347,0.698,104.254
51,Michael Bublé,Stardust (with Naturally 7) - with Naturally 7 Album Version,0.378,0.158,8,-12.018,1,0.0269,0.956,8.84e-05,0.284,0.159,66.859
52,Michael Bublé,Can't Buy Me Love,0.401,0.598,10,-6.323,1,0.12,0.552,0.0,0.342,0.594,156.894
53,Michael Bublé,A Song For You - feat. Chris Botti,0.561,0.366,5,-10.358,0,0.0391,0.882,0.00282,0.129,0.306,110.539
54,Michael Bublé,Whatever It Takes - with Ron Sexsmith,0.642,0.456,0,-7.923,0,0.0281,0.714,0.00103,0.0988,0.674,119.995
55,Michael Bublé,Heartache Tonight,0.674,0.82,8,-5.158,1,0.0597,0.0519,0.0,0.377,0.525,121.001
56,Michael Bublé,Comin' Home Baby - Duet With Boyz II Men,0.624,0.755,5,-7.219,1,0.0757,0.361,2.32e-05,0.108,0.773,144.048
