length,count
2,859
3,2159
4,3943
5,9420
6,10923
7,12137
8,13984
9,14818
10,16209
11,16241
12,17367
13,17635
14,18138
15,18590
16,18182
17,17699
18,17765
19,17465
20,17900
21,16871
22,16636
23,16126
24,15651
25,15655
26,14955
27,14729
28,14475
29,14263
30,14385
31,13712
32,13267
33,12860
34,12422
35,12149
36,11999
37,11802
38,11403
39,11347
40,11275
41,10496
42,10371
43,10086
44,9697
45,9669
46,9362
47,9144
48,8977
49,8726
50,8618
51,8250
52,8074
53,7739
54,7640
55,7478
56,7351
57,7176
58,6873
59,6711
60,6578
61,6485
62,6335
63,6341
64,6033
65,5911
66,5681
67,5692
68,5602
69,5425
70,5337
71,5177
72,5038
73,4844
74,4949
75,4782
76,4688
77,4510
78,4519
79,4330
80,4255
81,4103
82,3971
83,4045
84,3910
85,3881
86,3710
87,3587
88,3673
89,3536
90,3501
91,3382
92,3304
93,3245
94,3185
95,3258
96,3099
97,3033
98,2949
99,2953
100,2829
101,2760
102,2667
103,2612
104,2599
105,2481
106,2485
107,2404
108,2427
109,2388
110,2274
111,2226
112,2200
113,2154
114,2146
115,2094
116,1998
117,2029
118,1882
119,1960
120,1896
121,1787
122,1785
123,1845
124,1737
125,1632
126,1647
127,1605
128,1554
129,1476
130,1581
131,1535
132,1551
133,1497
134,1393
135,1406
136,1275
137,1385
138,1302
139,1202
140,1264
141,1261
142,1212
143,1184
144,1153
145,1124
146,1097
147,1101
148,1112
149,1063
150,1023
151,1028
152,898
153,943
154,938
155,866
156,880
157,850
158,843
159,847
160,839
161,800
162,716
163,781
164,707
165,744
166,717
167,690
168,652
169,615
170,624
171,602
172,614
173,551
174,577
175,551
176,530
177,538
178,504
179,488
180,446
181,472
182,444
183,414
184,389
185,425
186,406
187,365
188,370
189,322
190,337
191,325
192,328
193,324
194,291
195,258
196,258
197,268
198,238
199,209
200,216
201,219
202,213
203,187
204,196
205,146
206,155
207,151
208,151
209,133
210,116
211,129
212,144
213,92
214,87
215,100
216,80
217,70
218,62
219,75
220,54
221,55
222,48
223,44
224,33
225,38
226,28
227,32
228,22
229,26
230,12
231,13
232,9
233,10
234,10
235,4
236,6
237,3
238,2
239,4
240,3
241,3
242,3
243,2
244,1
