length,count
1,754219
2,149600
3,46939
4,19591
5,9813
6,5360
7,3305
8,2143
9,1512
10,1006
11,825
12,632
13,479
14,359
15,328
16,290
17,235
18,207
19,162
20,138
21,117
22,126
23,106
24,95
25,66
26,70
27,74
28,70
29,71
30,50
31,64
32,60
33,46
34,49
35,34
36,66
37,27
38,44
39,34
40,34
41,26
42,26
43,38
44,27
45,25
46,18
47,26
48,24
49,23
50,18
51,19
52,20
53,16
54,19
55,26
56,14
57,11
58,19
59,15
60,5
61,12
62,11
63,11
64,10
65,14
66,9
67,8
68,4
69,4
70,21
71,6
72,9
73,5
74,11
75,7
76,8
77,8
78,12
79,6
80,9
81,10
82,11
83,9
84,6
85,5
86,7
87,10
88,11
89,2
90,12
91,5
92,9
93,6
94,4
95,11
96,6
97,3
98,3
99,2
100,6
101,5
102,3
103,3
104,9
105,4
106,4
107,6
108,5
109,4
110,2
111,6
112,7
113,8
114,7
115,4
116,8
117,4
118,3
119,3
120,2
121,2
122,5
123,4
124,7
125,5
126,1
127,3
128,4
129,3
130,4
131,2
132,4
133,1
134,6
135,4
136,1
137,2
138,1
139,3
141,4
142,3
143,6
144,1
145,2
146,1
147,2
148,3
149,3
151,2
152,3
153,2
154,4
155,2
156,1
157,1
158,3
159,3
160,2
161,2
162,4
163,3
165,1
166,2
167,3
169,3
171,2
172,3
173,2
174,6
175,4
176,1
177,1
178,1
179,2
180,3
181,3
183,3
184,3
185,1
186,4
187,2
190,1
191,1
192,3
193,1
194,2
195,4
196,1
197,2
198,2
200,2
202,1
203,2
205,3
206,1
207,1
208,1
211,1
212,1
213,1
214,2
215,2
216,2
217,2
218,1
220,2
221,1
222,1
223,2
224,1
225,1
227,3
229,1
230,3
232,3
234,1
235,3
236,1
238,1
239,3
240,2
241,2
242,1
243,2
244,2
245,1
248,1
249,1
250,1
251,3
252,1
253,2
254,1
255,1
256,3
257,1
259,2
260,2
261,3
264,1
267,1
268,1
269,3
271,3
272,3
273,2
274,2
276,1
277,1
279,2
280,1
282,2
283,3
284,1
285,2
286,1
287,2
288,1
290,2
292,2
293,3
294,2
295,2
296,1
297,2
298,1
299,1
300,1
301,1
302,2
304,2
305,3
307,2
309,1
312,1
313,1
314,2
315,1
319,1
322,1
327,1
329,1
330,1
332,1
333,1
336,1
338,1
339,2
340,1
342,1
344,1
348,1
349,1
352,2
353,1
355,1
357,1
358,1
361,1
362,1
364,1
367,1
369,1
371,2
372,1
373,1
374,1
375,1
376,1
378,2
380,3
381,1
388,1
390,2
396,1
398,1
401,1
404,1
409,1
410,1
412,2
413,1
414,2
418,1
419,1
422,4
424,1
429,1
430,2
437,1
439,1
440,1
441,1
443,1
444,1
445,1
448,2
450,3
455,3
457,1
458,1
460,1
461,1
463,1
464,3
466,1
469,1
474,1
476,1
480,1
483,1
485,1
486,2
492,1
495,1
501,1
503,2
507,1
508,1
515,2
521,1
523,1
525,3
527,1
535,3
537,1
542,1
552,1
554,1
568,1
571,1
574,1
576,2
586,1
587,2
591,1
597,3
599,1
602,2
603,1
604,1
610,1
626,1
629,1
636,1
638,1
639,1
642,1
648,1
651,1
653,2
656,1
674,1
675,1
681,1
682,1
690,1
692,1
698,1
702,2
703,1
708,1
712,1
714,1
722,1
729,1
732,1
741,1
742,1
758,1
765,1
766,1
767,1
770,1
778,1
779,1
792,1
802,2
812,1
821,1
823,1
824,1
833,1
836,1
837,1
839,1
843,1
844,1
848,1
858,1
864,1
867,1
877,1
880,1
898,1
899,1
908,1
914,1
915,1
924,1
927,1
929,1
936,1
946,1
947,1
955,1
960,1
972,1
973,1
979,1
987,1
992,1
1011,1
1012,1
1013,1
1038,2
1040,2
1041,1
1053,1
1061,1
1071,1
1139,1
1142,1
1148,1
1150,1
1187,1
1199,1
1208,1
1209,2
1220,1
1241,1
1242,1
1247,1
1248,1
1251,1
1268,1
1280,1
1283,1
1286,1
1303,1
1308,1
1311,1
1360,1
1363,1
1401,1
1403,1
1413,1
1439,1
1444,2
1450,1
1470,1
1472,1
1474,1
1483,1
1497,1
1525,1
1527,1
1559,1
1561,1
1585,1
1589,1
1612,1
1621,1
1624,1
1627,1
1640,1
1644,2
1651,1
1669,1
1731,1
1744,1
1781,1
1806,1
1810,1
1813,1
1817,1
1823,1
1858,1
1916,1
1975,1
1980,1
1994,2
1995,1
2002,1
2004,1
2008,1
2016,1
2074,1
2088,1
2122,1
2141,1
2182,1
2186,1
2216,1
2245,1
2259,1
2286,1
2322,1
2323,1
2341,1
2342,1
2398,1
2467,2
2471,1
2490,2
2509,1
2510,1
2545,1
2593,1
2618,1
2658,1
2671,1
2699,1
2719,1
2887,1
2971,1
2981,1
2994,1
3000,1
3117,1
3136,1
3165,1
3182,1
3197,1
3266,1
3286,1
3437,1
3498,1
3512,1
3596,1
3638,1
3738,1
3934,1
4097,1
4202,1
4238,1
4323,1
4427,1
4455,1
4657,1
5021,1
5164,1
5219,1
5282,1
5787,1
5822,1
6326,1
6337,1
6398,1
6421,1
6568,1
6611,1
6918,1
7177,1
7394,1
7912,1
7973,1
8596,1
9142,1
9188,1
9345,1
9821,1
9887,1
10911,1
11111,1
11618,1
11745,1
11772,1
12604,1
12862,1
14812,1
15123,1
15842,1
22102,1
23500,1
27830,1
31539,1
45942,1
53519,1
71643,1
