expr_idx,pl_idx,r_prec,dcg,idcg,ndcg,clicks
0,206,0.009216589861751152,0.33083039270969417,2.0,0.16541519635484708,5
2,432,0.0,0.0,1.0,0.0,1
3,289,0.0,0.0,1.0,0.0,1
4,808,0.0,0.0,1.0,0.0,1
5,771,0.0,0.0,1.0,0.0,1
6,555,0.0,0.0,1.0,0.0,1
7,839,0.015625,0.2037950470905062,1.0,0.2037950470905062,2
8,385,0.12359550561797752,4.239309449437997,8.264512206141088,0.5129533774888619,1
9,580,0.015625,0.27023815442731974,1.0,0.27023815442731974,1
10,629,0.0,0.0,1.0,0.0,1
11,184,0.0,0.0,1.0,0.0,1
12,748,0.0,0.0,1.0,0.0,1
13,84,0.0,0.0,1.0,0.0,1
14,974,0.0,0.0,1.0,0.0,1
15,656,0.0,0.0,1.0,0.0,1
16,246,0.0,0.0,1.0,0.0,1
17,895,0.0,0.0,1.0,0.0,1
18,781,0.0,0.0,1.0,0.0,1
19,597,0.012345679012345678,0.43067655807339306,1.0,0.43067655807339306,0
20,240,0.0,0.0,1.0,0.0,1
21,866,0.0,0.15957141566993818,1.0,0.15957141566993818,7
22,968,0.0,0.0,1.0,0.0,1
23,188,0.0,0.0,1.0,0.0,1
24,610,0.0,0.0,1.0,0.0,1
25,441,0.0,0.0,1.0,0.0,1
26,10,0.0,0.0,1.0,0.0,1
27,315,0.0,0.0,1.0,0.0,1
28,887,0.0,0.0,1.0,0.0,1
29,505,0.0,0.0,1.0,0.0,1
30,100,0.0,0.0,1.0,0.0,1
31,55,0.0,0.0,1.0,0.0,1
32,928,0.0,0.0,1.0,0.0,1
33,538,0.0,0.0,1.0,0.0,1
34,421,0.0,0.0,1.0,0.0,1
35,915,0.0,0.0,1.0,0.0,1
36,559,0.0,0.0,1.0,0.0,1
38,150,0.0,0.0,1.0,0.0,1
39,959,0.0,0.0,1.0,0.0,1
40,511,0.0,0.0,1.0,0.0,1
41,825,0.0,0.0,1.0,0.0,1
42,635,0.0,0.0,1.0,0.0,1
43,480,0.0,0.0,1.0,0.0,1
44,866,0.0,0.0,1.0,0.0,1
45,861,0.0,0.0,1.0,0.0,1
46,777,0.0,0.0,1.0,0.0,1
47,535,0.0,0.0,1.0,0.0,1
48,41,0.0,0.0,1.0,0.0,1
49,675,0.0,0.0,1.0,0.0,1
50,584,0.0,0.0,1.0,0.0,1
51,484,0.06060606060606061,1.086772131971207,2.6309297535714578,0.4130753132028424,0
53,126,0.0,0.0,1.0,0.0,1
54,335,0.0,0.0,1.0,0.0,1
55,384,0.0,0.0,1.0,0.0,1
56,897,0.0,0.0,1.0,0.0,1
57,707,0.0,0.0,1.0,0.0,1
58,566,0.0,0.0,1.0,0.0,1
59,834,0.0,0.0,1.0,0.0,1
60,883,0.0,0.0,1.0,0.0,1
61,355,0.0,0.0,1.0,0.0,1
62,147,0.0,0.0,1.0,0.0,1
63,744,0.0,0.0,1.0,0.0,1
64,263,0.0,0.0,1.0,0.0,1
65,868,0.046052631578947366,1.2582610409906212,4.304666305987414,0.2923016446688307,1
66,702,0.0,0.0,1.0,0.0,1
67,980,0.0,0.0,1.0,0.0,1
69,974,0.0,0.0,1.0,0.0,1
70,682,0.0,0.0,1.0,0.0,1
71,794,0.10084033613445378,2.284153940604841,5.822502283739475,0.39229764614842777,1
74,48,0.0,0.0,1.0,0.0,1
75,111,0.0,0.17905223175104137,1.0,0.17905223175104137,4
76,714,0.008849557522123894,0.15520856277015513,1.0,0.15520856277015513,8
77,966,0.02531645569620253,0.6531875633959507,2.6309297535714578,0.24827252134317002,5
78,454,0.0,0.0,1.0,0.0,1
79,878,0.0,0.0,1.0,0.0,1
80,256,0.0,0.0,1.0,0.0,1
81,873,0.0,0.0,1.0,0.0,1
82,866,0.0,0.0,1.0,0.0,1
83,641,0.0,0.0,1.0,0.0,1
84,688,0.0,0.18316925091363362,1.0,0.18316925091363362,4
85,548,0.0,0.0,1.0,0.0,1
86,650,0.0625,0.25,1.0,0.25,1
87,660,0.0,0.0,1.0,0.0,1
88,465,0.0,0.0,1.0,0.0,1
89,533,0.0,0.0,1.0,0.0,1
90,231,0.0,0.0,1.0,0.0,1
91,60,0.0,0.0,1.0,0.0,1
92,332,0.15458937198067632,7.30604458843962,10.361581041840884,0.7051090522708102,0
93,82,0.033707865168539325,1.8653221443027346,3.9484591188793923,0.4724177427553383,0
94,183,0.0,0.0,1.0,0.0,1
95,375,0.0,0.0,1.0,0.0,1
96,239,0.0,0.0,1.0,0.0,1
97,646,0.0,0.0,1.0,0.0,1
98,533,0.0,0.0,1.0,0.0,1
99,748,0.0,0.0,1.0,0.0,1
