Playlist Index,GT Name,Retrieved Name
0,Ain't Your Mama,Hotel California
0,I Like It Like That,Bring It To Jesus
0,I Wanna Dance with Somebody (Who Loves Me),Home
0,As Long As You Love Me,I'm Yours
0,Boyfriend,Africa
0,What Do You Mean?,Summer Of '69
0,Love Yourself,Electric Feel
0,Never Say Never - Single Version,Song 6
0,Somebody To Love,California Dreamin'
0,Baby,Paradise
0,U Smile,Sunshine
0,That Should Be Me,A Human Body
0,One Time,Sunshine Of Your Love
0,One Less Lonely Girl,Can't Stop the Feeling
0,He Could Be the One,Walking on Sunshine
0,"The Best of Both Worlds - From ""Hannah Montana""/Soundtrack Version",On Top Of The World
0,"If We Were A Movie - From ""Hannah Montana""/Soundtrack Version",Escape (The Pina Colada Song)
0,"Pumpin' Up The Party - From ""Hannah Montana""/Soundtrack Version",Battle Theme
0,"This Is The Life - From ""Hannah Montana""/Soundtrack Version",It's Time
0,Nobody's Perfect,All The Shine
0,Rockstar - Original Version,Do You Know
0,One In A Million,No Good
0,Life's What You Make it,It's Five O' Clock Somewhere
0,You And Me Together,Radioactive
0,True Friend,Baby
0,G.N.O. Girls Night Out,Land Downunder
0,Let's Get Crazy,Good Vibrations
0,I'll Always Remember You,Sunny Afternoon - Live
0,Bleeding Love,Summer Breeze
0,Trouble,I'll Follow The Sun
0,Don't Stop Believin',Let Her Go
0,"Riff Off - From ""Pitch Perfect 2"" Soundtrack",Brown Eyed Girl
0,Introducing Me,Does It
0,Ironic - 2015 Remastered,Don't Stop Believin'
0,1985,Ice Ice Baby
0,All Star,Superstition
0,Carry On,Free Fallin'
0,The Time (Dirty Bit),Eye of the Tiger
0,Yeah!,Up Around the Bend
0,Love Is an Open Door,Summertime Sadness
0,Club Can't Handle Me (feat. David Guetta) - Feat. David Guetta,Perfect Day
0,Stronger,Kokomo
0,You're Beautiful,Life Is A Highway
0,So Good,Cherry Wine - Live
0,This Love,Dani California
0,Burnin' Up,Shiny Happy People
0,A Thousand Miles,Drops of Jupiter
0,Video Killed The Radio Star,Beautiful Day
0,Lean on Me,Mercy
0,I Want You Back,Unwritten
0,Ain't No Mountain High Enough,Send Me on My Way
0,Empire State Of Mind,Strawberry Fields Forever - Take 7
0,Jordan Belfort,Free Bird
0,She Will Be Loved - Radio Mix,Real Thing
0,Bless The Broken Road,A Thousand Miles
0,Best Song Ever,Lucille
0,Wonderwall - Remastered,Los Angeles
0,Island In The Sun,Kids
0,3 am - Remastered Version,Secrets
0,Fall For You,Bitter Sweet Symphony
0,All Time Low,California Girls
0,Toes,Otherside
0,Chicken Fried,Mr. Brightside
